Unnamed: 0,Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Efficiency City,Fuel Efficiency Highway,Fuel Efficiency Combined,Engine Group,Efficiency Ratio City,Efficiency Ratio Highway,Efficiency Ratio Combined,Emission Rate CO2 level
0,2022,0,349,0,2.4,4,7,3,9.9,7.0,8.6,33,200,6,3,0.101010101010101,0.1428571428571428,0.1162790697674418,2,0.04208754208754208,0.0595238095238095,0.04844961240310075,1.0
1,2022,0,410,7,3.5,6,8,3,12.6,9.4,11.2,25,263,4,5,0.0793650793650793,0.1063829787234042,0.0892857142857142,4,0.02267573696145123,0.030395136778115485,0.02551020408163263,0.66
2,2022,0,513,7,2.0,4,8,3,11.0,8.6,9.9,29,232,5,6,0.0909090909090909,0.1162790697674418,0.101010101010101,1,0.04545454545454545,0.0581395348837209,0.0505050505050505,0.83
3,2022,0,514,7,2.0,4,8,3,11.3,9.1,10.3,27,242,5,6,0.0884955752212389,0.1098901098901098,0.0970873786407767,1,0.04424778761061945,0.0549450549450549,0.04854368932038835,0.83
4,2022,0,615,0,2.0,4,8,3,11.2,8.0,9.8,29,230,5,7,0.0892857142857142,0.125,0.1020408163265306,1,0.0446428571428571,0.0625,0.0510204081632653,0.83
5,2022,0,616,0,2.0,4,8,3,11.3,8.1,9.8,29,231,5,7,0.0884955752212389,0.1234567901234568,0.1020408163265306,1,0.04424778761061945,0.0617283950617284,0.0510204081632653,0.83
6,2022,0,617,0,3.0,6,8,3,12.3,9.4,11.0,26,256,5,5,0.08130081300813,0.1063829787234042,0.0909090909090909,3,0.027100271002709998,0.0354609929078014,0.0303030303030303,0.83
7,2022,0,618,0,3.0,6,8,3,12.3,9.8,11.2,25,261,4,5,0.08130081300813,0.1020408163265306,0.0892857142857142,3,0.027100271002709998,0.03401360544217687,0.029761904761904736,0.66
8,2022,1,327,2,2.0,4,3,3,10.0,7.2,8.7,32,205,6,3,0.1,0.1388888888888889,0.1149425287356322,1,0.05,0.06944444444444445,0.0574712643678161,1.0
9,2022,1,328,2,2.0,4,3,3,10.5,7.7,9.2,31,217,5,3,0.0952380952380952,0.1298701298701298,0.108695652173913,1,0.0476190476190476,0.0649350649350649,0.0543478260869565,0.83
10,2022,1,329,2,2.9,6,3,3,13.5,9.3,11.6,24,271,4,3,0.074074074074074,0.1075268817204301,0.0862068965517241,3,0.025542784163473792,0.03707823507601038,0.029726516052318658,0.66
11,2022,1,607,7,2.0,4,3,3,10.3,8.1,9.3,30,218,5,3,0.0970873786407767,0.1234567901234568,0.1075268817204301,1,0.04854368932038835,0.0617283950617284,0.05376344086021505,0.83
12,2022,1,608,7,2.0,4,3,3,10.8,8.3,9.6,29,226,5,3,0.0925925925925925,0.1204819277108433,0.1041666666666666,1,0.04629629629629625,0.06024096385542165,0.0520833333333333,0.83
13,2022,1,609,7,2.9,6,3,3,13.9,10.3,12.3,23,288,4,3,0.0719424460431654,0.0970873786407767,0.08130081300813,3,0.02480774001488462,0.03347840642785403,0.028034763106251723,0.66
14,2022,2,217,3,4.0,8,3,3,13.0,9.8,11.5,25,271,4,5,0.0769230769230769,0.1020408163265306,0.0869565217391304,4,0.019230769230769225,0.02551020408163265,0.0217391304347826,0.66
15,2022,2,216,3,5.2,12,3,3,16.4,10.7,13.8,20,324,3,3,0.0609756097560975,0.0934579439252336,0.072463768115942,4,0.011726078799249518,0.017972681524083385,0.013935340022296539,0.49
