Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Quarter_Num,Year,Quarter_Date,Total_Casualties,Casualty_Rate,Fatality_Rate,Vehicles_per_Crash,Total_Factors,SPV_Prop,DAD_Prop,PWR_Prop,FTQ_Prop,Other_Factors_Prop,Quarter_Sin,Quarter_Cos,Severe_Crash,High_Casualty,State_Encoded,State_Adamawa,State_Akwa Ibom,State_Anambra,State_Bauchi,State_Bayelsa,State_Benue,State_Borno,State_Cross River,State_Delta,State_Ebonyi,State_Edo,State_Ekiti,State_Enugu,State_FCT,State_Gombe,State_Imo,State_Jigawa,State_Kaduna,State_Kano,State_Katsina,State_Kebbi,State_Kogi,State_Kwara,State_Lagos,State_Nasarawa,State_Niger,State_Ogun,State_Ondo,State_Osun,State_Oyo,State_Plateau,State_Rivers,State_Sokoto,State_Taraba,State_Yobe,State_Zamfara,Region,Region_Encoded,Region_North East,Region_North West,Region_South East,Region_South South,Region_South West
Q4 2020,Abia,30,146,31,37,19,0,0,0,18,4,2020,2020-12-01,177,4.783783783783784,0.1751412429378531,1.2333333333333334,37,0.5135135135135135,0.0,0.0,0.0,0.4864864864864865,-2.4492935982947064e-16,1.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South East,3,False,False,True,False,False
Q4 2020,Adamawa,77,234,36,94,57,0,0,0,37,4,2020,2020-12-01,270,2.872340425531915,0.13333333333333333,1.2207792207792207,94,0.6063829787234043,0.0,0.0,0.0,0.39361702127659576,-2.4492935982947064e-16,1.0,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North East,1,True,False,False,False,False
Q4 2020,Akwa Ibom,22,28,7,24,15,0,0,1,8,4,2020,2020-12-01,35,1.4583333333333333,0.2,1.0909090909090908,24,0.625,0.0,0.0,0.041666666666666664,0.3333333333333333,-2.4492935982947064e-16,1.0,1,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,False
Q4 2020,Anambra,72,152,20,83,43,1,0,0,39,4,2020,2020-12-01,172,2.072289156626506,0.11627906976744186,1.1527777777777777,83,0.5180722891566265,0.012048192771084338,0.0,0.0,0.46987951807228917,-2.4492935982947064e-16,1.0,1,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South East,3,False,False,True,False,False
Q4 2020,Bauchi,154,685,90,140,74,0,0,0,66,4,2020,2020-12-01,775,5.535714285714286,0.11612903225806452,0.9090909090909091,140,0.5285714285714286,0.0,0.0,0.0,0.4714285714285714,-2.4492935982947064e-16,1.0,1,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North East,1,True,False,False,False,False
Q4 2020,Bayelsa,1,3,0,1,1,0,0,0,0,4,2020,2020-12-01,3,3.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0,0,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,False
Q4 2020,Benue,77,177,25,81,81,0,0,0,0,4,2020,2020-12-01,202,2.493827160493827,0.12376237623762376,1.051948051948052,81,1.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,1,0,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North Central,0,False,False,False,False,False
Q4 2020,Borno,25,67,16,18,11,0,0,0,7,4,2020,2020-12-01,83,4.611111111111111,0.1927710843373494,0.72,18,0.6111111111111112,0.0,0.0,0.0,0.3888888888888889,-2.4492935982947064e-16,1.0,1,0,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North East,1,True,False,False,False,False
Q4 2020,Cross River,33,65,11,39,23,0,0,0,16,4,2020,2020-12-01,76,1.9487179487179487,0.14473684210526316,1.1818181818181819,39,0.5897435897435898,0.0,0.0,0.0,0.41025641025641024,-2.4492935982947064e-16,1.0,1,0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,False
Q4 2020,Delta,67,182,36,111,70,0,0,0,41,4,2020,2020-12-01,218,1.9639639639639639,0.1651376146788991,1.6567164179104477,111,0.6306306306306306,0.0,0.0,0.0,0.36936936936936937,-2.4492935982947064e-16,1.0,1,1,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,False
Q4 2020,Ebonyi,27,82,11,29,9,0,0,0,20,4,2020,2020-12-01,93,3.206896551724138,0.11827956989247312,1.0740740740740742,29,0.3103448275862069,0.0,0.0,0.0,0.6896551724137931,-2.4492935982947064e-16,1.0,1,0,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South East,3,False,False,True,False,False
Q4 2020,Edo,55,118,32,102,77,0,0,0,25,4,2020,2020-12-01,150,1.4705882352941178,0.21333333333333335,1.8545454545454545,102,0.7549019607843137,0.0,0.0,0.0,0.24509803921568626,-2.4492935982947064e-16,1.0,1,0,11,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,False
Q4 2020,Ekiti,30,71,9,46,23,1,0,0,22,4,2020,2020-12-01,80,1.7391304347826086,0.1125,1.5333333333333334,46,0.5,0.021739130434782608,0.0,0.0,0.4782608695652174,-2.4492935982947064e-16,1.0,1,0,12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South West,5,False,False,False,False,True
Q4 2020,Enugu,44,116,30,48,10,0,0,0,38,4,2020,2020-12-01,146,3.0416666666666665,0.2054794520547945,1.0909090909090908,48,0.20833333333333334,0.0,0.0,0.0,0.7916666666666666,-2.4492935982947064e-16,1.0,1,0,13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South East,3,False,False,True,False,False
Q4 2020,FCT,312,572,90,480,284,1,0,2,193,4,2020,2020-12-01,662,1.3791666666666667,0.13595166163141995,1.5384615384615385,480,0.5916666666666667,0.0020833333333333333,0.0,0.004166666666666667,0.40208333333333335,-2.4492935982947064e-16,1.0,1,1,14,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North Central,0,False,False,False,False,False
Q4 2020,Gombe,70,231,26,84,59,0,0,0,25,4,2020,2020-12-01,257,3.0595238095238093,0.10116731517509728,1.2,84,0.7023809523809523,0.0,0.0,0.0,0.2976190476190476,-2.4492935982947064e-16,1.0,1,1,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North East,1,True,False,False,False,False
Q4 2020,Imo,31,91,15,24,11,0,0,0,13,4,2020,2020-12-01,106,4.416666666666667,0.14150943396226415,0.7741935483870968,24,0.4583333333333333,0.0,0.0,0.0,0.5416666666666666,-2.4492935982947064e-16,1.0,1,0,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South East,3,False,False,True,False,False
Q4 2020,Jigawa,92,318,64,177,118,0,0,0,59,4,2020,2020-12-01,382,2.15819209039548,0.16753926701570682,1.923913043478261,177,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,-2.4492935982947064e-16,1.0,1,1,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,False,True,False,False,False
Q4 2020,Kaduna,281,1010,224,363,194,0,0,0,169,4,2020,2020-12-01,1234,3.399449035812672,0.18152350081037277,1.291814946619217,363,0.5344352617079889,0.0,0.0,0.0,0.465564738292011,-2.4492935982947064e-16,1.0,1,1,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,False,True,False,False,False
Q4 2020,Kano,102,499,194,130,90,0,0,2,38,4,2020,2020-12-01,693,5.3307692307692305,0.27994227994227994,1.2745098039215685,130,0.6923076923076923,0.0,0.0,0.015384615384615385,0.2923076923076923,-2.4492935982947064e-16,1.0,1,1,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,False,True,False,False,False
Q4 2020,Katsina,77,277,39,107,80,0,0,0,27,4,2020,2020-12-01,316,2.953271028037383,0.12341772151898735,1.3896103896103895,107,0.7476635514018691,0.0,0.0,0.0,0.2523364485981308,-2.4492935982947064e-16,1.0,1,1,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,False,True,False,False,False
Q4 2020,Kebbi,58,222,56,64,45,0,0,0,19,4,2020,2020-12-01,278,4.34375,0.2014388489208633,1.103448275862069,64,0.703125,0.0,0.0,0.0,0.296875,-2.4492935982947064e-16,1.0,1,1,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,False,True,False,False,False
Q4 2020,Kogi,122,335,55,178,91,1,0,1,85,4,2020,2020-12-01,390,2.191011235955056,0.14102564102564102,1.459016393442623,178,0.5112359550561798,0.0056179775280898875,0.0,0.0056179775280898875,0.47752808988764045,-2.4492935982947064e-16,1.0,1,1,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North Central,0,False,False,False,False,False
Q4 2020,Kwara,102,313,60,163,105,0,0,0,58,4,2020,2020-12-01,373,2.2883435582822087,0.16085790884718498,1.5980392156862746,163,0.6441717791411042,0.0,0.0,0.0,0.3558282208588957,-2.4492935982947064e-16,1.0,1,1,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,North Central,0,False,False,False,False,False
Q4 2020,Lagos,113,181,21,114,46,1,0,3,64,4,2020,2020-12-01,202,1.7719298245614035,0.10396039603960396,1.008849557522124,114,0.40350877192982454,0.008771929824561403,0.0,0.02631578947368421,0.5614035087719298,-2.4492935982947064e-16,1.0,1,0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,South West,5,False,False,False,False,True
